#,L_Name,F_Name,Number,Email
1,Ridd,Ayden,402-706-4735,aydentheninja@gmail.com
2,Xen,Matt,123-234-1002,xenosiscool37@yahoo.org
3,Wow,Ray,531-200-2003,iamfpisdman27@protonmail.go
4,James,Cody,502-234-2994,dragoonroseandeveryothername@hotmail.com
5,Mic,Amber,402-345-1002,kirbyispinkandcute@simsmail.com
6,Gatcha,Travis,223-309-4879,iamdefinitelynotaddicted@yugioh.com
7,Proffesional,Zach,531-205-2704,urmomtwoelectricboogaloo@outlook.com
8,Riden,402-706-4735,aydentheninja@gmadd,Ayil.com
9,Xescool37@yahn,Matt,123-234-1002,xenosioo.org
10,Wil.gow,Ray,531-200-2003,iamfpisdman27@protonmao
11,Ja2-234-2994,dragoonroseandemes,Cody,50veryothername@hotmail.com
12,Mic,Amber,402-345-1002,kirbyispinkandcute@simsmMail.com
13,Gotaddicted@yugioh.coatcha,Travis,223-309-4879,iamdefinitelynm
14,Prourmomtwoelectricboogalooffesional,Zach,531-205-2704,@outlook.com
